,year_film,year_ceremony,ceremony,category,name,film,winner
0,1989,1990,62,ACTOR IN A LEADING ROLE,Kenneth Branagh,Henry V,False
1,1989,1990,62,ACTOR IN A LEADING ROLE,Tom Cruise,Born on the Fourth of July,False
2,1989,1990,62,ACTOR IN A LEADING ROLE,Daniel Day Lewis,My Left Foot,True
3,1989,1990,62,ACTOR IN A LEADING ROLE,Morgan Freeman,Driving Miss Daisy,False
4,1989,1990,62,ACTOR IN A LEADING ROLE,Robin Williams,Dead Poets Society,False
5,1989,1990,62,ACTOR IN A SUPPORTING ROLE,Danny Aiello,Do the Right Thing,False
6,1989,1990,62,ACTOR IN A SUPPORTING ROLE,Dan Aykroyd,Driving Miss Daisy,False
7,1989,1990,62,ACTOR IN A SUPPORTING ROLE,Marlon Brando,A Dry White Season,False
8,1989,1990,62,ACTOR IN A SUPPORTING ROLE,Martin Landau,Crimes and Misdemeanors,False
9,1989,1990,62,ACTOR IN A SUPPORTING ROLE,Denzel Washington,Glory,True
10,1989,1990,62,ACTRESS IN A LEADING ROLE,Isabelle Adjani,Camille Claudel,False
11,1989,1990,62,ACTRESS IN A LEADING ROLE,Pauline Collins,Shirley Valentine,False
12,1989,1990,62,ACTRESS IN A LEADING ROLE,Jessica Lange,Music Box,False
13,1989,1990,62,ACTRESS IN A LEADING ROLE,Michelle Pfeiffer,The Fabulous Baker Boys,False
14,1989,1990,62,ACTRESS IN A LEADING ROLE,Jessica Tandy,Driving Miss Daisy,True
15,1989,1990,62,ACTRESS IN A SUPPORTING ROLE,Brenda Fricker,My Left Foot,True
16,1989,1990,62,ACTRESS IN A SUPPORTING ROLE,Anjelica Huston,"Enemies, A Love Story",False
17,1989,1990,62,ACTRESS IN A SUPPORTING ROLE,Lena Olin,"Enemies, A Love Story",False
18,1989,1990,62,ACTRESS IN A SUPPORTING ROLE,Julia Roberts,Steel Magnolias,False
19,1989,1990,62,ACTRESS IN A SUPPORTING ROLE,Dianne Wiest,Parenthood,False
