,year_film,year_ceremony,ceremony,category,name,film,winner
0,1944,1945,17,ACTOR,Charles Boyer,Gaslight,False
1,1944,1945,17,ACTOR,Bing Crosby,Going My Way,True
2,1944,1945,17,ACTOR,Barry Fitzgerald,Going My Way,False
3,1944,1945,17,ACTOR,Cary Grant,None but the Lonely Heart,False
4,1944,1945,17,ACTOR,Alexander Knox,Wilson,False
5,1944,1945,17,ACTOR IN A SUPPORTING ROLE,Hume Cronyn,The Seventh Cross,False
6,1944,1945,17,ACTOR IN A SUPPORTING ROLE,Barry Fitzgerald,Going My Way,True
7,1944,1945,17,ACTOR IN A SUPPORTING ROLE,Claude Rains,Mr. Skeffington,False
8,1944,1945,17,ACTOR IN A SUPPORTING ROLE,Clifton Webb,Laura,False
9,1944,1945,17,ACTOR IN A SUPPORTING ROLE,Monty Woolley,Since You Went Away,False
10,1944,1945,17,ACTRESS,Ingrid Bergman,Gaslight,True
11,1944,1945,17,ACTRESS,Claudette Colbert,Since You Went Away,False
12,1944,1945,17,ACTRESS,Bette Davis,Mr. Skeffington,False
13,1944,1945,17,ACTRESS,Greer Garson,Mrs. Parkington,False
14,1944,1945,17,ACTRESS,Barbara Stanwyck,Double Indemnity,False
15,1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,None but the Lonely Heart,True
16,1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Jennifer Jones,Since You Went Away,False
17,1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Angela Lansbury,Gaslight,False
18,1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Aline MacMahon,Dragon Seed,False
19,1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Agnes Moorehead,Mrs. Parkington,False
20,1944,1945,17,ART DIRECTION (Black-and-White),"Art Direction:  Lionel Banks, Walter Holscher;  Interior Decoration:  Joseph Kish",Address Unknown,False
21,1944,1945,17,ART DIRECTION (Black-and-White),Art Direction:  John J. Hughes;  Interior Decoration:  Fred MacLean,The Adventures of Mark Twain,False
22,1944,1945,17,ART DIRECTION (Black-and-White),Art Direction:  Perry Ferguson;  Interior Decoration:  Julia Heron,Casanova Brown,False
23,1944,1945,17,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, William Ferrari;  Interior Decoration:  Edwin B. Willis, Paul Huldschinsky",Gaslight,True
24,1944,1945,17,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, Leland Fuller;  Interior Decoration:  Thomas Little",Laura,False
25,1944,1945,17,ART DIRECTION (Black-and-White),"Art Direction:  Hans Dreier, Robert Usher;  Interior Decoration:  Sam Comer",No Time for Love,False
26,1944,1945,17,ART DIRECTION (Black-and-White),Art Direction:  Mark-Lee Kirk;  Interior Decoration:  Victor A. Gangelin,Since You Went Away,False
27,1944,1945,17,ART DIRECTION (Black-and-White),Song of the Open Road,Song of the Open Road,False
28,1944,1945,17,ART DIRECTION (Black-and-White),"Art Direction:  Albert S. D'Agostino, Carroll Clark;  Interior Decoration:  Darrell Silvera, Claude Carpenter",Step Lively,False
29,1944,1945,17,ART DIRECTION (Color),"Art Direction:  John B. Goodman, Alexander Golitzen;  Interior Decoration:  Russell A. Gausman, Ira S. Webb",The Climax,False
30,1944,1945,17,ART DIRECTION (Color),"Art Direction:  Lionel Banks, Cary Odell;  Interior Decoration:  Fay Babcock",Cover Girl,False
