,year_film,year_ceremony,ceremony,category,name,film,winner
0,1946,1947,19,ACTOR,Fredric March,The Best Years of Our Lives,True
1,1946,1947,19,ACTOR,Laurence Olivier,Henry V,False
2,1946,1947,19,ACTOR,Larry Parks,The Jolson Story,False
3,1946,1947,19,ACTOR,Gregory Peck,The Yearling,False
4,1946,1947,19,ACTOR,James Stewart,It's a Wonderful Life,False
5,1946,1947,19,ACTOR IN A SUPPORTING ROLE,Charles Coburn,The Green Years,False
6,1946,1947,19,ACTOR IN A SUPPORTING ROLE,William Demarest,The Jolson Story,False
7,1946,1947,19,ACTOR IN A SUPPORTING ROLE,Claude Rains,Notorious,False
8,1946,1947,19,ACTOR IN A SUPPORTING ROLE,Harold Russell,The Best Years of Our Lives,True
9,1946,1947,19,ACTOR IN A SUPPORTING ROLE,Clifton Webb,The Razor's Edge,False
10,1946,1947,19,ACTRESS,Olivia de Havilland,To Each His Own,True
11,1946,1947,19,ACTRESS,Celia Johnson,Brief Encounter,False
12,1946,1947,19,ACTRESS,Jennifer Jones,Duel in the Sun,False
13,1946,1947,19,ACTRESS,Rosalind Russell,Sister Kenny,False
14,1946,1947,19,ACTRESS,Jane Wyman,The Yearling,False
15,1946,1947,19,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,The Spiral Staircase,False
16,1946,1947,19,ACTRESS IN A SUPPORTING ROLE,Anne Baxter,The Razor's Edge,True
17,1946,1947,19,ACTRESS IN A SUPPORTING ROLE,Lillian Gish,Duel in the Sun,False
18,1946,1947,19,ACTRESS IN A SUPPORTING ROLE,Flora Robson,Saratoga Trunk,False
19,1946,1947,19,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard,Anna and the King of Siam,False
20,1946,1947,19,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, William Darling;  Interior Decoration:  Thomas Little, Frank E. Hughes",Anna and the King of Siam,True
21,1946,1947,19,ART DIRECTION (Black-and-White),"Art Direction:  Hans Dreier, Walter Tyler;  Interior Decoration:  Sam Comer, Ray Moyer",Kitty,False
22,1946,1947,19,ART DIRECTION (Black-and-White),"Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little, Paul S. Fox",The Razor's Edge,False
23,1946,1947,19,ART DIRECTION (Color),John Bryan,Caesar and Cleopatra,False
24,1946,1947,19,ART DIRECTION (Color),"Art Direction:  Paul Sheriff, Carmen Dillon",Henry V,False
25,1946,1947,19,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Interior Decoration:  Edwin B. Willis",The Yearling,True
26,1946,1947,19,CINEMATOGRAPHY (Black-and-White),Arthur Miller,Anna and the King of Siam,True
27,1946,1947,19,CINEMATOGRAPHY (Black-and-White),George Folsey,The Green Years,False
28,1946,1947,19,CINEMATOGRAPHY (Color),Joseph Walker,The Jolson Story,False
29,1946,1947,19,CINEMATOGRAPHY (Color),"Charles Rosher, Leonard Smith, Arthur Arling",The Yearling,True
30,1946,1947,19,DIRECTING,William Wyler,The Best Years of Our Lives,True
31,1946,1947,19,DIRECTING,David Lean,Brief Encounter,False
32,1946,1947,19,DIRECTING,Frank Capra,It's a Wonderful Life,False
33,1946,1947,19,DIRECTING,Robert Siodmak,The Killers,False
34,1946,1947,19,DIRECTING,Clarence Brown,The Yearling,False
35,1946,1947,19,DOCUMENTARY (Short Subject),The March of Time,Atomic Power,False
36,1946,1947,19,DOCUMENTARY (Short Subject),Artkino,Life at the Zoo,False
37,1946,1947,19,DOCUMENTARY (Short Subject),Paramount,Paramount News Issue #37 (Twentieth Anniversary Issue!  1927.....1947),False
38,1946,1947,19,DOCUMENTARY (Short Subject),United States Department of War,Seeds of Destiny,True
39,1946,1947,19,DOCUMENTARY (Short Subject),"Herbert Morgan, Producer",Traffic with the Devil,False
40,1946,1947,19,FILM EDITING,Daniel Mandell,The Best Years of Our Lives,True
41,1946,1947,19,FILM EDITING,William Hornbeck,It's a Wonderful Life,False
42,1946,1947,19,FILM EDITING,William Lyon,The Jolson Story,False
43,1946,1947,19,FILM EDITING,Arthur Hilton,The Killers,False
44,1946,1947,19,FILM EDITING,Harold Kress,The Yearling,False
