,timestamp,weco
0,1656896400,Fair
1,1685127600,Clear
2,1622311200,Fair
3,1666148400,Cloudy
4,1624255200,Light Rain
5,1688338800,Fair
6,1682701200,Cloudy
7,1645639200,Overcast
8,1670284800,Overcast
9,1689678000,Cloudy
10,1650340800,Cloudy
11,1634205600,Cloudy
12,1649520000,Fair
13,1666000800,Overcast
14,1660071600,Fair
15,1618333200,Fair
16,1691708400,Fair
17,1652803200,Fair
18,1628038800,Fair
19,1693792800,Fair
20,1620759600,Fair
21,1657188000,Cloudy
22,1635847200,Fair
23,1694919600,Cloudy
24,1690405200,Heavy Rain
25,1653476400,Cloudy
26,1694998800,Light Rain
27,1673524800,Light Rain
28,1653224400,Fair
29,1678122000,Light Rain
30,1675414800,Overcast
31,1682967600,Fair
32,1622869200,Cloudy
33,1634328000,Cloudy
34,1657807200,Fair
35,1619874000,Fair
36,1693440000,Cloudy
37,1654462800,Fog
38,1653703200,Fair
39,1665068400,Fair
40,1681588800,Fair
41,1689742800,Overcast
42,1684000800,Fair
43,1620324000,Fair
44,1641668400,Light Rain
45,1658098800,Fair
46,1676188800,Overcast
47,1664733600,Fair
48,1670918400,Cloudy
49,1657663200,Overcast
50,1669716000,Overcast
51,1626717600,Fair
52,1678258800,Lihgt Snowfall
53,1625176800,Cloudy
54,1634565600,Light Rain
55,1676800800,Cloudy
56,1651240800,Cloudy
57,1643526000,Clear
58,1659772800,Fair
59,1618916400,Fair
60,1687140000,Fair
61,1656532800,Overcast
62,1635364800,Fair
63,1663070400,Overcast
64,1687658400,Clear
65,1643918400,Cloudy
66,1669932000,Overcast
67,1662174000,Fair
68,1665043200,Fair
69,1626998400,Fair
70,1681855200,Cloudy
71,1639501200,Overcast
72,1623308400,Cloudy
73,1671458400,Light Rain
74,1623319200,Cloudy
75,1620302400,Rain Shower
76,1659837600,Fair
77,1646330400,Overcast
78,1655118000,Cloudy
79,1632301200,Fair
80,1655802000,Fair
81,1694354400,Cloudy
82,1678694400,Light Rain
83,1683244800,Overcast
84,1682888400,Overcast
85,1671267600,Cloudy
86,1617613200,Cloudy
87,1643234400,Cloudy
88,1696683600,Fair
89,1644332400,Overcast
90,1696014000,Fair
91,1685163600,Fair
92,1689922800,Cloudy
93,1669996800,Light Rain
94,1666947600,Cloudy
95,1648303200,Fair
96,1682208000,Light Rain
97,1669161600,Fair
98,1687982400,Cloudy
99,1622919600,Fair
100,1638439200,Fair
101,1634310000,Fair
102,1689202800,Fair
103,1634040000,Overcast
104,1622023200,Cloudy
105,1646593200,Cloudy
106,1665147600,Fair
107,1683054000,Cloudy
108,1675983600,Fair
109,1683068400,Fair
110,1626404400,Clear
111,1676444400,Cloudy
112,1654945200,
113,1637535600,Fair
114,1631642400,Light Rain
115,1666900800,Overcast
116,1691208000,Light Rain
117,1623697200,Cloudy
118,1650873600,Fair
119,1669323600,Cloudy
120,1661968800,Fair
121,1665252000,Fair
122,1669075200,Light Rain
123,1695463200,Fair
124,1644483600,Overcast
125,1663880400,Overcast
126,1683010800,Overcast
127,1664204400,Cloudy
128,1685595600,Cloudy
129,1648220400,Fair
130,1668283200,Fair
131,1684040400,Cloudy
132,1642687200,Fair
133,1629817200,Fair
134,1634605200,Overcast
135,1621810800,Light Rain
136,1643414400,Overcast
137,1619690400,Fair
138,1654678800,
139,1655366400,Fair
140,1673614800,Fair
141,1625414400,Light Rain
142,1660842000,Cloudy
143,1618689600,Cloudy
144,1678424400,Light Rain
145,1681023600,Cloudy
146,1637445600,Overcast
147,1673236800,Overcast
148,1625277600,Light Rain
149,1643637600,Fair
150,1689832800,Fair
151,1672732800,Overcast
152,1629003600,Overcast
153,1683385200,Light Rain
154,1674172800,Clear
155,1643702400,Overcast
156,1657033200,Cloudy
157,1690300800,Cloudy
158,1650081600,Fair
159,1622844000,Overcast
160,1620604800,Overcast
161,1691715600,Cloudy
162,1697796000,Overcast
163,1693537200,Light Rain
164,1663016400,Overcast
165,1643425200,Overcast
166,1644076800,Overcast
167,1618646400,Fair
168,1664190000,Cloudy
169,1672866000,Cloudy
